	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	password	4.571250132944863	2.424115739365121e-06	16	0	0.0239880059970015	0.0
1	take	3.2238501371471484	0.0006323978567969651	8	0	0.01199400299850075	0.0
2	time	3.1738467063286024	0.0007521655893796414	10	1	0.014992503748125937	0.001160092807424594
3	recognize	3.0146448252078155	0.0012864017323231001	7	0	0.010494752623688156	0.0
4	username	3.0146448252078155	0.0012864017323231001	7	0	0.010494752623688156	0.0
5	staff	2.8213844729677646	0.0023908428399673763	24	12	0.035982008995502246	0.013921113689095127
6	inconvenience	2.7901023325807985	0.0026345692291170073	6	0	0.008995502248875561	0.0
7	still	2.7901023325807985	0.0026345692291170073	6	0	0.008995502248875561	0.0
8	important	2.509049258420642	0.00605283009968909	7	1	0.010494752623688156	0.001160092807424594
9	extra	2.276614682907964	0.011404622649284213	4	0	0.005997001499250375	0.0
10	life	2.276614682907964	0.011404622649284213	4	0	0.005997001499250375	0.0
11	long	2.276614682907964	0.011404622649284213	4	0	0.005997001499250375	0.0
12	minute	2.276614682907964	0.011404622649284213	4	0	0.005997001499250375	0.0
13	quickly	2.276614682907964	0.011404622649284213	4	0	0.005997001499250375	0.0
14	typing	2.276614682907964	0.011404622649284213	4	0	0.005997001499250375	0.0
15	away	1.9709600395229463	0.02436422337699074	3	0	0.004497751124437781	0.0
16	delay	1.9709600395229463	0.02436422337699074	3	0	0.004497751124437781	0.0
17	type	1.9709600395229463	0.02436422337699074	3	0	0.004497751124437781	0.0
18	able	1.9652634952807133	0.02469187416948376	5	1	0.0074962518740629685	0.001160092807424594
19	emergency	1.9652634952807133	0.02469187416948376	5	1	0.0074962518740629685	0.001160092807424594
20	enter	1.6428983597924434	0.050201982228234306	4	1	0.005997001499250375	0.001160092807424594
21	might	1.6428983597924434	0.050201982228234306	4	1	0.005997001499250375	0.001160092807424594
22	work	1.6428983597924434	0.050201982228234306	4	1	0.005997001499250375	0.001160092807424594
